input_element,input_weakness,option_1,option_2,option_3,option_4,option_5,ideal_choice
Fire,Water,Fighting,Metal,Fighting,Grass,Metal,Water
Darkness,Fighting,Water,Fighting,Metal,Fire,Psychic,Fighting
Colorless,Fighting,Metal,Psychic,Metal,Fire,Psychic,Fighting
Colorless,Fighting,Fire,Fighting,Darkness,Lightning,Grass,Fighting
Colorless,Fighting,Darkness,Water,Fighting,Darkness,Water,Fighting
Water,Lightning,Fighting,Darkness,Fighting,Fire,Lightning,Lightning
Colorless,Fighting,Fighting,Lightning,Fighting,Water,Water,Fighting
Darkness,Fighting,Grass,Psychic,Fire,Grass,Lightning,Fighting
Darkness,Fighting,Grass,Darkness,Metal,Water,Grass,Fighting
Psychic,Darkness,Fire,Fire,Fighting,Lightning,Darkness,Darkness
Water,Lightning,Lightning,Psychic,Metal,Darkness,Colorless,Lightning
Darkness,Fighting,Metal,Lightning,Fighting,Colorless,Colorless,Fighting
Fighting,Grass,Water,Darkness,Fire,Fire,Grass,Grass
Psychic,Darkness,Metal,Lightning,Lightning,Fire,Colorless,Darkness
Lightning,Fighting,Fire,Psychic,Grass,Darkness,Metal,Fighting
Water,Lightning,Metal,Metal,Water,Fire,Lightning,Lightning
Water,Lightning,Grass,Colorless,Fighting,Colorless,Metal,Lightning
Colorless,Fighting,Darkness,Fire,Grass,Darkness,Fire,Fighting
Fighting,Psychic,Metal,Fighting,Metal,Fighting,Darkness,Psychic
Lightning,Fighting,Colorless,Lightning,Fighting,Grass,Metal,Fighting
Water,Lightning,Fighting,Grass,Darkness,Metal,Metal,Lightning
Fire,Water,Fighting,Metal,Metal,Grass,Colorless,Water
Colorless,Fighting,Water,Lightning,Lightning,Fighting,Metal,Fighting
Colorless,Fighting,Fire,Metal,Fighting,Colorless,Fighting,Fighting
Grass,Fire,Darkness,Water,Lightning,Water,Darkness,Fire
Grass,Fire,Fighting,Psychic,Fire,Psychic,Colorless,Fire
Grass,Fire,Metal,Grass,Lightning,Colorless,Grass,Fire
Water,Lightning,Colorless,Darkness,Water,Darkness,Fire,Lightning
Fire,Water,Water,Lightning,Colorless,Fighting,Colorless,Water
Lightning,Fighting,Metal,Fighting,Fire,Water,Metal,Fighting
Lightning,Fighting,Colorless,Fire,Psychic,Darkness,Fighting,Fighting
Colorless,Fighting,Water,Grass,Colorless,Fighting,Metal,Fighting
Psychic,Darkness,Fighting,Grass,Water,Water,Lightning,Darkness
Grass,Fire,Grass,Water,Fighting,Psychic,Lightning,Fire
Fighting,Psychic,Colorless,Fire,Psychic,Metal,Fighting,Psychic
Psychic,Darkness,Water,Psychic,Metal,Colorless,Grass,Darkness
Grass,Fire,Psychic,Colorless,Darkness,Fighting,Lightning,Fire
Water,Lightning,Metal,Fire,Colorless,Lightning,Lightning,Lightning
Water,Lightning,Darkness,Darkness,Fire,Colorless,Fire,Lightning
Colorless,Fighting,Metal,Colorless,Fighting,Colorless,Colorless,Fighting
Colorless,Lightning,Grass,Water,Colorless,Metal,Lightning,Lightning
Fire,Water,Fighting,Darkness,Darkness,Metal,Colorless,Water
Grass,Fire,Darkness,Lightning,Colorless,Fighting,Lightning,Fire
Water,Lightning,Fighting,Water,Fire,Lightning,Colorless,Lightning
Water,Lightning,Fire,Darkness,Psychic,Grass,Metal,Lightning
Colorless,Lightning,Lightning,Fighting,Grass,Grass,Fire,Lightning
Fighting,Psychic,Colorless,Water,Water,Lightning,Grass,Psychic
Water,Lightning,Psychic,Metal,Fire,Metal,Fire,Lightning
Fighting,Grass,Lightning,Colorless,Lightning,Darkness,Grass,Grass
Lightning,Fighting,Psychic,Fire,Darkness,Metal,Grass,Fighting
Water,Lightning,Metal,Psychic,Grass,Water,Fire,Lightning
Fire,Water,Fire,Fire,Water,Psychic,Metal,Water
Lightning,Fighting,Metal,Grass,Fire,Fighting,Fire,Fighting
Psychic,Darkness,Darkness,Colorless,Water,Darkness,Darkness,Darkness
Water,Lightning,Metal,Grass,Metal,Colorless,Water,Lightning
Water,Lightning,Psychic,Metal,Lightning,Colorless,Colorless,Lightning
Colorless,Fighting,Colorless,Grass,Metal,Colorless,Psychic,Fighting
Grass,Fire,Psychic,Water,Psychic,Metal,Fire,Fire
Psychic,Darkness,Grass,Grass,Colorless,Water,Lightning,Darkness
Colorless,Fighting,Water,Colorless,Psychic,Water,Grass,Fighting
Lightning,Fighting,Grass,Darkness,Lightning,Metal,Fighting,Fighting
Psychic,Darkness,Fire,Metal,Fire,Colorless,Darkness,Darkness
Colorless,Fighting,Darkness,Colorless,Fire,Darkness,Colorless,Fighting
Water,Lightning,Colorless,Psychic,Psychic,Fire,Metal,Lightning
Fighting,Psychic,Psychic,Lightning,Colorless,Water,Fighting,Psychic
Colorless,Fighting,Psychic,Grass,Psychic,Fighting,Psychic,Fighting
Fighting,Psychic,Psychic,Lightning,Colorless,Water,Metal,Psychic
Grass,Fire,Water,Colorless,Metal,Water,Grass,Fire
Lightning,Lightning,Fighting,Lightning,Fighting,Fighting,Water,Lightning
Fighting,Grass,Grass,Grass,Fighting,Fighting,Psychic,Grass
Fire,Water,Fighting,Colorless,Darkness,Psychic,Lightning,Water
Colorless,Fighting,Metal,Metal,Psychic,Darkness,Lightning,Fighting
Water,Lightning,Grass,Colorless,Lightning,Colorless,Water,Lightning
Water,Lightning,Psychic,Grass,Water,Colorless,Fire,Lightning
Psychic,Darkness,Darkness,Water,Colorless,Water,Darkness,Darkness
Colorless,Fighting,Fire,Darkness,Colorless,Grass,Psychic,Fighting
Colorless,Fighting,Psychic,Psychic,Metal,Lightning,Fighting,Fighting
Colorless,Lightning,Fire,Colorless,Lightning,Psychic,Darkness,Lightning
Psychic,Darkness,Water,Grass,Darkness,Darkness,Water,Darkness
Colorless,Fighting,Lightning,Psychic,Darkness,Psychic,Fighting,Fighting
Lightning,Fighting,Grass,Grass,Water,Darkness,Metal,Fighting
Water,Lightning,Fire,Fighting,Fighting,Darkness,Lightning,Lightning
Darkness,Fighting,Water,Psychic,Colorless,Metal,Lightning,Fighting
Fire,Water,Lightning,Fighting,Grass,Water,Fighting,Water
Darkness,Fighting,Lightning,Water,Grass,Lightning,Metal,Fighting
Lightning,Fighting,Fire,Darkness,Darkness,Darkness,Lightning,Fighting
Psychic,Darkness,Colorless,Metal,Fire,Fighting,Lightning,Darkness
Psychic,Darkness,Fire,Fire,Colorless,Water,Water,Darkness
Psychic,Darkness,Grass,Darkness,Darkness,Grass,Fighting,Darkness
Fighting,Grass,Lightning,Psychic,Lightning,Fighting,Psychic,Grass
Grass,Fire,Grass,Darkness,Fighting,Colorless,Colorless,Fire
Colorless,Fighting,Grass,Colorless,Grass,Darkness,Lightning,Fighting
Grass,Fire,Fighting,Metal,Lightning,Lightning,Colorless,Fire
Fighting,Grass,Water,Metal,Fire,Fighting,Metal,Grass
Water,Lightning,Metal,Lightning,Darkness,Grass,Psychic,Lightning
Lightning,Fighting,Grass,Water,Colorless,Fire,Fighting,Fighting
Colorless,Fighting,Lightning,Lightning,Water,Fire,Fighting,Fighting
Fire,Lightning,Psychic,Grass,Water,Psychic,Fighting,Lightning
Water,Lightning,Psychic,Lightning,Water,Psychic,Psychic,Lightning
Colorless,Fighting,Colorless,Psychic,Water,Lightning,Water,Fighting
Water,Lightning,Psychic,Metal,Fire,Grass,Darkness,Lightning
Lightning,Fighting,Fire,Fire,Water,Lightning,Grass,Fighting
Darkness,Fighting,Darkness,Metal,Water,Metal,Colorless,Fighting
Water,Lightning,Psychic,Lightning,Lightning,Metal,Grass,Lightning
Water,Lightning,Darkness,Water,Psychic,Colorless,Metal,Lightning
Water,Lightning,Fighting,Lightning,Lightning,Darkness,Lightning,Lightning
Colorless,Lightning,Water,Metal,Water,Psychic,Darkness,Lightning
Grass,Fire,Grass,Fire,Metal,Fighting,Grass,Fire
Fighting,Grass,Colorless,Psychic,Water,Psychic,Lightning,Grass
Fire,Lightning,Fighting,Psychic,Metal,Psychic,Lightning,Lightning
Fighting,Grass,Darkness,Darkness,Colorless,Water,Psychic,Grass
Lightning,Fighting,Fire,Fire,Fire,Metal,Grass,Fighting
Colorless,Lightning,Fire,Fire,Fire,Fighting,Psychic,Lightning
Colorless,Fighting,Grass,Darkness,Metal,Darkness,Psychic,Fighting
Fighting,Psychic,Fighting,Fighting,Fire,Water,Psychic,Psychic
Colorless,Fighting,Water,Lightning,Fighting,Lightning,Lightning,Fighting
Water,Lightning,Grass,Water,Metal,Fire,Darkness,Lightning
Fighting,Psychic,Fire,Water,Colorless,Fighting,Grass,Psychic
Water,Lightning,Colorless,Psychic,Psychic,Fire,Colorless,Lightning
Grass,Fire,Grass,Metal,Lightning,Fire,Darkness,Fire
Water,Lightning,Metal,Colorless,Lightning,Fighting,Metal,Lightning
Psychic,Darkness,Fire,Colorless,Fighting,Grass,Lightning,Darkness
Psychic,Darkness,Grass,Fighting,Colorless,Fighting,Colorless,Darkness
Grass,Fire,Darkness,Water,Metal,Fire,Psychic,Fire
Grass,Fire,Fighting,Fighting,Water,Psychic,Psychic,Fire
Lightning,Lightning,Fighting,Darkness,Metal,Lightning,Water,Lightning
Water,Lightning,Metal,Colorless,Grass,Fire,Metal,Lightning
Fire,Water,Grass,Darkness,Lightning,Grass,Water,Water
Psychic,Metal,Metal,Psychic,Grass,Darkness,Water,Metal
Grass,Fire,Fire,Metal,Fighting,Fighting,Psychic,Fire
Grass,Fire,Water,Water,Fighting,Grass,Fire,Fire
Darkness,Fighting,Colorless,Psychic,Grass,Grass,Fighting,Fighting
Fighting,Psychic,Psychic,Darkness,Fire,Grass,Fighting,Psychic
Water,Lightning,Metal,Lightning,Grass,Lightning,Colorless,Lightning
Fighting,Psychic,Grass,Water,Lightning,Psychic,Colorless,Psychic
Water,Lightning,Fighting,Psychic,Psychic,Lightning,Lightning,Lightning
Fire,Lightning,Fire,Metal,Colorless,Grass,Darkness,Lightning
Psychic,Darkness,Grass,Lightning,Fire,Fire,Psychic,Darkness
Water,Lightning,Grass,Fire,Grass,Metal,Psychic,Lightning
Fire,Water,Psychic,Lightning,Lightning,Metal,Fire,Water
Water,Lightning,Psychic,Darkness,Colorless,Lightning,Lightning,Lightning
Lightning,Lightning,Grass,Lightning,Colorless,Water,Water,Lightning
Water,Lightning,Psychic,Darkness,Psychic,Fire,Psychic,Lightning
Colorless,Fighting,Fire,Darkness,Darkness,Grass,Colorless,Fighting
Colorless,Fighting,Psychic,Colorless,Darkness,Darkness,Grass,Fighting
Water,Lightning,Colorless,Lightning,Metal,Metal,Fighting,Lightning
Colorless,Lightning,Colorless,Metal,Colorless,Fighting,Colorless,Lightning
Psychic,Darkness,Colorless,Water,Water,Colorless,Psychic,Darkness
Fighting,Grass,Colorless,Lightning,Metal,Lightning,Colorless,Grass
Darkness,Fighting,Fire,Water,Metal,Grass,Fighting,Fighting
Fire,Water,Darkness,Colorless,Lightning,Water,Fire,Water
Water,Lightning,Darkness,Grass,Darkness,Fire,Lightning,Lightning
Colorless,Fighting,Darkness,Darkness,Fighting,Psychic,Metal,Fighting
Colorless,Fighting,Colorless,Fire,Lightning,Lightning,Lightning,Fighting
Colorless,Lightning,Grass,Lightning,Psychic,Lightning,Colorless,Lightning
Fighting,Grass,Fire,Fire,Colorless,Darkness,Psychic,Grass
Colorless,Fighting,Fire,Psychic,Water,Fire,Psychic,Fighting
Water,Lightning,Lightning,Darkness,Darkness,Lightning,Colorless,Lightning
Grass,Fire,Darkness,Grass,Fire,Water,Darkness,Fire
Fighting,Psychic,Colorless,Fire,Lightning,Darkness,Fighting,Psychic
Lightning,Lightning,Psychic,Water,Colorless,Water,Water,Lightning
Fighting,Psychic,Fighting,Fire,Darkness,Fighting,Metal,Psychic
Fire,Water,Fighting,Metal,Fire,Fire,Water,Water
Grass,Fire,Psychic,Darkness,Grass,Darkness,Metal,Fire
Fire,Water,Fire,Darkness,Darkness,Lightning,Colorless,Water
Lightning,Lightning,Lightning,Water,Fire,Metal,Fire,Lightning
Colorless,Fighting,Metal,Water,Lightning,Lightning,Water,Fighting
Colorless,Fighting,Metal,Fighting,Fighting,Fire,Fighting,Fighting
Psychic,Darkness,Darkness,Colorless,Fire,Lightning,Lightning,Darkness
Water,Lightning,Fighting,Colorless,Grass,Grass,Lightning,Lightning
Water,Lightning,Fighting,Fighting,Grass,Darkness,Lightning,Lightning
Fire,Water,Water,Water,Psychic,Metal,Water,Water
Psychic,Darkness,Metal,Darkness,Lightning,Lightning,Psychic,Darkness
Colorless,Fighting,Grass,Metal,Fighting,Metal,Metal,Fighting
Lightning,Fighting,Fire,Water,Darkness,Fighting,Colorless,Fighting
Water,Metal,Lightning,Lightning,Fire,Darkness,Fire,Metal
Fighting,Grass,Metal,Water,Darkness,Fighting,Metal,Grass
Psychic,Darkness,Psychic,Fire,Metal,Grass,Darkness,Darkness
Water,Lightning,Colorless,Colorless,Psychic,Grass,Psychic,Lightning
Lightning,Lightning,Fire,Metal,Lightning,Darkness,Darkness,Lightning
Fighting,Psychic,Darkness,Darkness,Colorless,Psychic,Grass,Psychic
Lightning,Lightning,Colorless,Colorless,Lightning,Darkness,Metal,Lightning
Psychic,Darkness,Psychic,Colorless,Lightning,Water,Water,Darkness
Colorless,Fighting,Psychic,Fighting,Darkness,Water,Fire,Fighting
Lightning,Lightning,Darkness,Grass,Lightning,Water,Fighting,Lightning
Lightning,Lightning,Darkness,Darkness,Metal,Lightning,Psychic,Lightning
Colorless,Fighting,Colorless,Colorless,Water,Fire,Fire,Fighting
Darkness,Fighting,Lightning,Fire,Colorless,Fighting,Fire,Fighting
Psychic,Darkness,Fighting,Water,Darkness,Metal,Darkness,Darkness
Fighting,Grass,Fighting,Fire,Metal,Lightning,Fire,Grass
Fighting,Grass,Grass,Grass,Fighting,Grass,Lightning,Grass
Colorless,Fighting,Darkness,Fire,Darkness,Darkness,Colorless,Fighting
Colorless,Fighting,Grass,Colorless,Lightning,Metal,Grass,Fighting
Fighting,Grass,Metal,Lightning,Metal,Metal,Darkness,Grass
Fire,Water,Psychic,Lightning,Psychic,Psychic,Psychic,Water
Fighting,Psychic,Fire,Colorless,Fighting,Water,Fire,Psychic
Psychic,Darkness,Darkness,Grass,Lightning,Grass,Fire,Darkness
Water,Lightning,Psychic,Psychic,Fire,Grass,Darkness,Lightning
Water,Lightning,Fighting,Psychic,Grass,Darkness,Darkness,Lightning
Lightning,Fighting,Darkness,Lightning,Darkness,Darkness,Lightning,Fighting
Fighting,Grass,Fighting,Fighting,Psychic,Grass,Darkness,Grass
Grass,Fire,Darkness,Psychic,Water,Fire,Metal,Fire
Psychic,Darkness,Colorless,Psychic,Psychic,Psychic,Water,Darkness
Fighting,Grass,Lightning,Fire,Fighting,Colorless,Water,Grass
Water,Lightning,Fighting,Fighting,Lightning,Colorless,Colorless,Lightning
Water,Lightning,Psychic,Fighting,Fighting,Psychic,Water,Lightning
Grass,Fire,Darkness,Water,Water,Fire,Lightning,Fire
Grass,Fire,Grass,Water,Water,Metal,Metal,Fire
Colorless,Fighting,Colorless,Fire,Water,Grass,Water,Fighting
Water,Lightning,Darkness,Psychic,Psychic,Colorless,Lightning,Lightning
Colorless,Fighting,Colorless,Fighting,Lightning,Fighting,Darkness,Fighting
Grass,Fire,Psychic,Metal,Colorless,Metal,Grass,Fire
Darkness,Fighting,Water,Metal,Grass,Psychic,Metal,Fighting
Darkness,Fighting,Metal,Grass,Lightning,Lightning,Fighting,Fighting
Psychic,Darkness,Lightning,Lightning,Fighting,Colorless,Water,Darkness
Colorless,Lightning,Darkness,Fighting,Darkness,Grass,Psychic,Lightning
Colorless,Fighting,Grass,Psychic,Psychic,Grass,Lightning,Fighting
Water,Lightning,Grass,Colorless,Psychic,Colorless,Colorless,Lightning
Grass,Fire,Lightning,Grass,Fire,Lightning,Lightning,Fire
Lightning,Fighting,Darkness,Grass,Fighting,Colorless,Fighting,Fighting
Fire,Lightning,Metal,Water,Fighting,Grass,Fire,Lightning
Grass,Fire,Lightning,Colorless,Water,Fighting,Grass,Fire
Water,Lightning,Grass,Lightning,Psychic,Lightning,Darkness,Lightning
Fighting,Grass,Fighting,Colorless,Grass,Colorless,Grass,Grass
Fire,Water,Fighting,Lightning,Metal,Darkness,Fire,Water
Fire,Lightning,Metal,Darkness,Fighting,Colorless,Metal,Lightning
Water,Metal,Fire,Darkness,Darkness,Lightning,Fire,Metal
Water,Lightning,Colorless,Water,Metal,Colorless,Water,Lightning
Fighting,Grass,Colorless,Metal,Darkness,Psychic,Colorless,Grass
Colorless,Fighting,Grass,Psychic,Colorless,Fighting,Metal,Fighting
Grass,Fire,Fighting,Metal,Metal,Water,Fire,Fire
Lightning,Fighting,Psychic,Psychic,Psychic,Metal,Metal,Fighting
Colorless,Fighting,Metal,Fire,Metal,Fighting,Fire,Fighting
Water,Lightning,Grass,Grass,Fighting,Fighting,Fighting,Lightning
Colorless,Fighting,Fire,Colorless,Grass,Darkness,Colorless,Fighting
Colorless,Fighting,Metal,Psychic,Psychic,Metal,Water,Fighting
Water,Metal,Water,Water,Water,Colorless,Fire,Metal
Water,Lightning,Metal,Grass,Lightning,Fighting,Darkness,Lightning
Psychic,Darkness,Colorless,Lightning,Water,Lightning,Lightning,Darkness
Lightning,Fighting,Fighting,Water,Psychic,Colorless,Darkness,Fighting
Fighting,Grass,Metal,Psychic,Fire,Psychic,Psychic,Grass
Fighting,Grass,Fire,Grass,Colorless,Grass,Fire,Grass
Fire,Water,Colorless,Fire,Psychic,Fighting,Lightning,Water
Water,Lightning,Grass,Metal,Colorless,Lightning,Darkness,Lightning
Water,Lightning,Grass,Grass,Water,Water,Water,Lightning
Fighting,Psychic,Psychic,Darkness,Water,Grass,Colorless,Psychic
Psychic,Darkness,Darkness,Lightning,Colorless,Lightning,Colorless,Darkness
Lightning,Lightning,Colorless,Water,Lightning,Colorless,Grass,Lightning
Grass,Fire,Fighting,Lightning,Darkness,Psychic,Metal,Fire
Psychic,Metal,Psychic,Grass,Darkness,Water,Darkness,Metal
Fighting,Grass,Lightning,Lightning,Water,Lightning,Metal,Grass
Colorless,Fighting,Metal,Colorless,Psychic,Fire,Fire,Fighting
Fighting,Psychic,Psychic,Grass,Lightning,Darkness,Fighting,Psychic
Metal,Fire,Grass,Water,Psychic,Darkness,Darkness,Fire
Fighting,Psychic,Metal,Fire,Fire,Metal,Grass,Psychic
Fire,Water,Grass,Darkness,Grass,Grass,Fighting,Water
Lightning,Fighting,Fire,Lightning,Psychic,Darkness,Lightning,Fighting
Grass,Fire,Metal,Lightning,Fighting,Fire,Metal,Fire
Colorless,Fighting,Psychic,Darkness,Fire,Lightning,Lightning,Fighting
Colorless,Lightning,Fighting,Fire,Fighting,Colorless,Fighting,Lightning
Colorless,Fighting,Darkness,Metal,Colorless,Lightning,Water,Fighting
Colorless,Lightning,Fighting,Psychic,Grass,Psychic,Darkness,Lightning
Grass,Fire,Colorless,Darkness,Colorless,Water,Colorless,Fire
Fighting,Grass,Grass,Metal,Fighting,Fire,Colorless,Grass
Colorless,Fighting,Metal,Metal,Colorless,Psychic,Water,Fighting
Fighting,Psychic,Colorless,Fighting,Metal,Colorless,Water,Psychic
Lightning,Fighting,Grass,Grass,Colorless,Fire,Darkness,Fighting
Fighting,Grass,Darkness,Water,Darkness,Grass,Metal,Grass
Lightning,Fighting,Fire,Metal,Water,Fighting,Water,Fighting
Psychic,Darkness,Colorless,Metal,Grass,Water,Psychic,Darkness
Colorless,Fighting,Lightning,Darkness,Metal,Fire,Grass,Fighting
Water,Lightning,Psychic,Fire,Psychic,Grass,Lightning,Lightning
Water,Lightning,Fighting,Metal,Psychic,Fighting,Fire,Lightning
Water,Metal,Lightning,Metal,Fighting,Colorless,Grass,Metal
Psychic,Metal,Darkness,Darkness,Metal,Lightning,Grass,Metal
Grass,Fire,Fighting,Metal,Water,Metal,Metal,Fire
Colorless,Fighting,Fighting,Grass,Colorless,Colorless,Fighting,Fighting
Psychic,Darkness,Metal,Psychic,Psychic,Water,Psychic,Darkness
Psychic,Darkness,Darkness,Darkness,Fire,Fire,Metal,Darkness
Fighting,Psychic,Fighting,Psychic,Grass,Fighting,Grass,Psychic
Lightning,Fighting,Grass,Metal,Darkness,Metal,Fire,Fighting
Psychic,Darkness,Colorless,Grass,Darkness,Fighting,Psychic,Darkness
Darkness,Fighting,Fighting,Water,Fire,Darkness,Water,Fighting
Lightning,Fighting,Fire,Fire,Lightning,Fire,Psychic,Fighting
Fighting,Grass,Lightning,Water,Colorless,Water,Water,Grass
Fighting,Grass,Psychic,Darkness,Water,Colorless,Fighting,Grass
Fighting,Grass,Water,Colorless,Metal,Colorless,Metal,Grass
Lightning,Fighting,Darkness,Grass,Fire,Metal,Fighting,Fighting
Lightning,Fighting,Metal,Grass,Grass,Fighting,Darkness,Fighting
Darkness,Fighting,Metal,Darkness,Metal,Lightning,Fighting,Fighting
Fighting,Grass,Fighting,Psychic,Grass,Darkness,Darkness,Grass
Colorless,Fighting,Metal,Psychic,Water,Water,Colorless,Fighting
Water,Lightning,Psychic,Metal,Water,Fire,Colorless,Lightning
Psychic,Darkness,Fire,Fighting,Metal,Colorless,Fire,Darkness
Darkness,Fighting,Grass,Fighting,Psychic,Water,Metal,Fighting
Water,Lightning,Fire,Darkness,Water,Fire,Darkness,Lightning
Psychic,Metal,Lightning,Grass,Metal,Psychic,Metal,Metal
Fighting,Grass,Fighting,Fire,Colorless,Water,Fire,Grass
Psychic,Darkness,Water,Psychic,Lightning,Grass,Darkness,Darkness
Water,Lightning,Grass,Metal,Water,Fighting,Grass,Lightning
Grass,Fire,Lightning,Fighting,Fighting,Darkness,Metal,Fire
Psychic,Darkness,Psychic,Grass,Colorless,Lightning,Water,Darkness
Colorless,Fighting,Lightning,Darkness,Darkness,Metal,Darkness,Fighting
Fighting,Psychic,Darkness,Lightning,Fire,Colorless,Metal,Psychic
Water,Lightning,Metal,Darkness,Grass,Darkness,Fighting,Lightning
Colorless,Lightning,Colorless,Fire,Metal,Grass,Lightning,Lightning
Fighting,Grass,Darkness,Metal,Fighting,Metal,Fighting,Grass
Fire,Lightning,Fighting,Fire,Colorless,Psychic,Fighting,Lightning
Psychic,Darkness,Lightning,Water,Darkness,Metal,Darkness,Darkness
Water,Lightning,Fire,Darkness,Darkness,Darkness,Psychic,Lightning
Colorless,Fighting,Darkness,Water,Fire,Darkness,Fighting,Fighting
Colorless,Fighting,Colorless,Fighting,Grass,Psychic,Fire,Fighting
Lightning,Fighting,Water,Metal,Darkness,Metal,Darkness,Fighting
Colorless,Lightning,Colorless,Lightning,Fighting,Lightning,Grass,Lightning
Fire,Lightning,Darkness,Grass,Fighting,Grass,Water,Lightning
Darkness,Fighting,Grass,Darkness,Fighting,Fire,Psychic,Fighting
Fire,Water,Psychic,Psychic,Psychic,Darkness,Fighting,Water
Psychic,Darkness,Fire,Water,Fighting,Darkness,Colorless,Darkness
Lightning,Fighting,Metal,Fire,Psychic,Darkness,Metal,Fighting
Fighting,Psychic,Grass,Grass,Lightning,Psychic,Fighting,Psychic
Psychic,Darkness,Grass,Metal,Darkness,Darkness,Fire,Darkness
Psychic,Darkness,Grass,Colorless,Water,Lightning,Colorless,Darkness
Colorless,Lightning,Fire,Grass,Lightning,Psychic,Lightning,Lightning
Darkness,Fighting,Fighting,Lightning,Water,Colorless,Grass,Fighting
Psychic,Darkness,Water,Fighting,Fire,Psychic,Colorless,Darkness
Fighting,Grass,Psychic,Colorless,Fire,Fire,Lightning,Grass
Fighting,Grass,Psychic,Metal,Lightning,Lightning,Fire,Grass
Grass,Fire,Colorless,Water,Psychic,Water,Colorless,Fire
Colorless,Fighting,Fire,Colorless,Colorless,Fighting,Fighting,Fighting
Psychic,Darkness,Water,Water,Darkness,Grass,Colorless,Darkness
Colorless,Fighting,Fighting,Psychic,Colorless,Darkness,Metal,Fighting
Colorless,Fighting,Grass,Darkness,Fighting,Lightning,Water,Fighting
Grass,Fire,Fire,Colorless,Water,Fire,Fighting,Fire
Grass,Fire,Psychic,Darkness,Water,Psychic,Colorless,Fire
Fire,Water,Colorless,Fighting,Colorless,Grass,Fire,Water
Fire,Water,Fighting,Fighting,Fighting,Grass,Fighting,Water
Lightning,Fighting,Fire,Grass,Darkness,Fighting,Fighting,Fighting
Colorless,Fighting,Metal,Lightning,Grass,Colorless,Fire,Fighting
Water,Lightning,Metal,Colorless,Fire,Fire,Fire,Lightning
Grass,Fire,Darkness,Fighting,Colorless,Water,Water,Fire
Fire,Water,Psychic,Water,Lightning,Psychic,Lightning,Water
Psychic,Darkness,Psychic,Fighting,Darkness,Metal,Fighting,Darkness
Psychic,Darkness,Psychic,Fighting,Darkness,Colorless,Metal,Darkness
Psychic,Darkness,Grass,Fighting,Water,Lightning,Water,Darkness
Fighting,Grass,Colorless,Metal,Darkness,Lightning,Water,Grass
Fire,Lightning,Lightning,Grass,Fighting,Colorless,Metal,Lightning
Grass,Fire,Lightning,Lightning,Darkness,Psychic,Psychic,Fire
Water,Lightning,Fire,Psychic,Colorless,Darkness,Psychic,Lightning
Water,Lightning,Fire,Colorless,Fire,Lightning,Water,Lightning
Lightning,Fighting,Fighting,Metal,Fire,Fire,Grass,Fighting
Water,Lightning,Psychic,Lightning,Lightning,Fire,Lightning,Lightning
Fighting,Psychic,Fire,Fire,Fire,Lightning,Water,Psychic
Fighting,Psychic,Fighting,Colorless,Metal,Water,Darkness,Psychic
Fire,Water,Lightning,Lightning,Lightning,Metal,Fighting,Water
Fire,Lightning,Water,Fighting,Fighting,Fire,Grass,Lightning
Psychic,Darkness,Fighting,Darkness,Fire,Water,Darkness,Darkness
Psychic,Darkness,Fire,Fighting,Fighting,Psychic,Water,Darkness
Lightning,Fighting,Metal,Psychic,Grass,Psychic,Grass,Fighting
Psychic,Darkness,Grass,Darkness,Darkness,Water,Colorless,Darkness
Psychic,Darkness,Water,Grass,Fighting,Psychic,Psychic,Darkness
Lightning,Fighting,Metal,Metal,Fire,Fighting,Grass,Fighting
Fire,Water,Colorless,Lightning,Fire,Darkness,Darkness,Water
Colorless,Lightning,Psychic,Fire,Grass,Colorless,Fighting,Lightning
Lightning,Fighting,Darkness,Lightning,Metal,Psychic,Metal,Fighting
Water,Lightning,Metal,Fighting,Fire,Fire,Lightning,Lightning
Water,Lightning,Metal,Darkness,Darkness,Darkness,Psychic,Lightning
Psychic,Darkness,Fire,Colorless,Psychic,Darkness,Metal,Darkness
Water,Lightning,Fire,Grass,Metal,Fighting,Metal,Lightning
Grass,Fire,Darkness,Darkness,Psychic,Lightning,Darkness,Fire
Colorless,Fighting,Darkness,Water,Fire,Darkness,Darkness,Fighting
Fighting,Psychic,Metal,Fire,Colorless,Colorless,Grass,Psychic
Colorless,Lightning,Psychic,Fire,Darkness,Water,Fighting,Lightning
Colorless,Lightning,Fighting,Darkness,Metal,Darkness,Fighting,Lightning
Lightning,Fighting,Colorless,Psychic,Darkness,Grass,Fighting,Fighting
Grass,Fire,Metal,Colorless,Colorless,Fire,Fighting,Fire
Grass,Fire,Lightning,Lightning,Water,Water,Lightning,Fire
Psychic,Darkness,Fire,Lightning,Grass,Psychic,Lightning,Darkness
Psychic,Darkness,Psychic,Colorless,Fighting,Grass,Water,Darkness
Colorless,Fighting,Lightning,Fighting,Psychic,Psychic,Colorless,Fighting
Lightning,Fighting,Fire,Metal,Psychic,Grass,Psychic,Fighting
Psychic,Darkness,Darkness,Colorless,Colorless,Metal,Water,Darkness
Colorless,Fighting,Fighting,Colorless,Fighting,Grass,Lightning,Fighting
Grass,Fire,Fighting,Metal,Fire,Psychic,Fire,Fire
Grass,Fire,Darkness,Colorless,Fighting,Colorless,Fire,Fire
Darkness,Fighting,Darkness,Water,Grass,Fighting,Lightning,Fighting
Colorless,Fighting,Lightning,Lightning,Lightning,Darkness,Water,Fighting
